study,brand,brand_variation,audience,category,sector,market,year,company,study_id,brand_id,brand_variation_key,audience_id,category_id,sector_id,market_id,year_id,study_period,additional_category,country_of_origin,differentiation_rank,relevance_rank,esteem_rank,knowledge_rank,differentiation_c,relevance_c,esteem_c,knowledge_c,relevance_brandscape_index,knowledge_brandscape_index,relevance_category_index,knowledge_category_index,mib_innovation_rank
"South Africa 2025",BMW,BMW,"All Adults",Automobiles,Auto,"South Africa",2025,"Bayerische Motoren Werke AG ADR",869,1066,2,1,2,2,39,1769,"Full Year",0,,99.800399201597,70.159680638723,98.003992015968,88.12375249501,1.548678167482,4.147941463607,1.5714415282493,5.2709700732916,,,,,95.427327163853
"South Africa 2025",Isuzu,Isuzu,"All Adults",Automobiles,Auto,"South Africa",2025,"Isuzu Motors Limited",869,3735,645,1,2,2,39,1769,"Full Year",0,,58.582834331337,50.099800399202,84.930139720559,70.359281437126,0.8966979408401,3.6686216387608,1.0496806058328,4.8524201941607,,,,,59.217927780801
"South Africa 2025","Mitsubishi Vehicles","Mitsubishi Vehicles","All Adults",Automobiles,Auto,"South Africa",2025,-,869,3196,18,1,2,2,39,1769,"Full Year",0,JP,76.646706586826,35.129740518962,47.205588822355,53.992015968064,0.97726833429274,3.3923027544576,0.65002941904781,4.366551528759,,,,,60.052622028669
"South Africa 2025",Jeep,Jeep,"All Adults",Automobiles,Auto,"South Africa",2025,"Stellantis NV",869,2487,55,1,2,2,39,1769,"Full Year",0,,96.506986027944,53.193612774451,84.431137724551,79.041916167665,1.2149695001045,3.7242055968035,1.0457624028353,5.0701113370364,,,,,79.722373434947
"South Africa 2025",Hyundai,Hyundai,"All Adults",Automobiles,Auto,"South Africa",2025,"Hyundai Motor",869,2040,13,1,2,2,39,1769,"Full Year",0,,72.654690618762,64.670658682635,76.24750499002,77.844311377246,0.95754564603054,3.9865630594865,0.93218980231249,5.0484074991973,,,,,76.374523679912
"South Africa 2025",Chery,Chery,"All Adults",Automobiles,Auto,"South Africa",2025,-,869,1281,40409,1,2,2,39,1769,"Full Year",0,,95.00998003992,12.4750499002,17.764471057884,37.724550898204,1.158344339278,2.9419094530385,0.43423078766131,3.7835159770779,,,,,75.993467610233
"South Africa 2025",Chevrolet,Chevrolet,"All Adults",Automobiles,Auto,"South Africa",2025,"General Motors Company",869,1181,4,1,2,2,39,1769,"Full Year",0,,78.942115768463,31.836327345309,48.802395209581,63.273453093812,0.98626199885998,3.332093280693,0.66422266331136,4.6533621453293,,,,,54.12810742152
"South Africa 2025",Volvo,Volvo,"All Adults",Automobiles,Auto,"South Africa",2025,"Volvo Car AB (publ.)",869,1089,27,1,2,2,39,1769,"Full Year",0,SE,92.115768463074,41.317365269461,77.744510978044,66.167664670659,1.1023274892471,3.5139422331625,0.94368034753424,4.7204988600567,,,,,89.666122300852
"South Africa 2025",Audi,Audi,"All Adults",Automobiles,Auto,"South Africa",2025,"Volkswagen AG 1/10 ADR",869,1069,1,1,2,2,39,1769,"Full Year",0,,98.303393213573,65.768463073852,95.908183632735,79.640718562874,1.3579964698829,4.0174390302311,1.4103677037906,5.0857301162856,,,,,95.273090183269
"South Africa 2025",Kia,"Kia [automobiles]","All Adults",Automobiles,Auto,"South Africa",2025,"Hyundai Motor Company",869,3738,5376,1,2,2,39,1769,"Full Year",0,,88.522954091816,59.181636726547,63.872255489022,70.459081836327,1.0636648752016,3.8438203778784,0.80622999822959,4.8542772971357,,,,,80.557067682816
